Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
14,2,2015-06-23,5346,599,1,0,0,0
14,3,2015-06-24,5344,619,1,0,0,0
14,4,2015-06-25,5089,587,1,0,0,0
14,5,2015-06-26,5232,609,1,0,0,0
14,6,2015-06-27,3498,409,1,0,0,0
14,7,2015-06-28,0,0,0,0,0,0
14,1,2015-06-29,8671,839,1,1,0,1
14,2,2015-06-30,10175,910,1,1,0,1
14,3,2015-07-01,5881,630,1,1,0,1
14,4,2015-07-02,6153,621,1,1,0,1
14,5,2015-07-03,6252,656,1,1,0,1
14,6,2015-07-04,3649,408,1,0,0,0
14,7,2015-07-05,0,0,0,0,0,0
14,1,2015-07-06,5706,656,1,0,0,1
14,2,2015-07-07,4955,606,1,0,0,1
14,3,2015-07-08,4720,574,1,0,0,1
14,4,2015-07-09,5050,602,1,0,0,1
14,5,2015-07-10,4981,595,1,0,0,1
14,6,2015-07-11,3103,368,1,0,0,0
14,7,2015-07-12,0,0,0,0,0,0
14,1,2015-07-13,7202,751,1,1,0,1
14,2,2015-07-14,6509,668,1,1,0,1
14,3,2015-07-15,6143,668,1,1,0,1
14,4,2015-07-16,6152,664,1,1,0,1
14,5,2015-07-17,5346,579,1,1,0,1
14,6,2015-07-18,3254,362,1,0,0,0
14,7,2015-07-19,0,0,0,0,0,0
14,1,2015-07-20,4780,571,1,0,0,1
14,2,2015-07-21,4518,555,1,0,0,1
14,3,2015-07-22,4409,541,1,0,0,1
14,4,2015-07-23,4080,514,1,0,0,1
14,5,2015-07-24,4775,567,1,0,0,1
14,6,2015-07-25,2952,348,1,0,0,0
14,7,2015-07-26,0,0,0,0,0,0
14,1,2015-07-27,6614,727,1,1,0,1
14,2,2015-07-28,5957,628,1,1,0,1
14,3,2015-07-29,5412,579,1,1,0,1
14,4,2015-07-30,5672,613,1,1,0,1
14,5,2015-07-31,6544,710,1,1,0,1
52,4,2015-04-30,9811,619,1,1,0,0
52,5,2015-05-01,0,0,0,1,a,0
52,6,2015-05-02,8682,581,1,0,0,0
52,7,2015-05-03,0,0,0,0,0,0
52,1,2015-05-04,9241,527,1,1,0,0
52,2,2015-05-05,5688,388,1,1,0,0
52,3,2015-05-06,7482,458,1,1,0,0
52,4,2015-05-07,7623,486,1,1,0,0
52,5,2015-05-08,7418,501,1,1,0,0
52,6,2015-05-09,7212,516,1,0,0,0
52,7,2015-05-10,0,0,0,0,0,0
52,1,2015-05-11,4363,304,1,0,0,0
52,2,2015-05-12,4279,308,1,0,0,0
52,3,2015-05-13,6403,480,1,0,0,0
52,4,2015-05-14,0,0,0,0,a,0
52,5,2015-05-15,6989,505,1,0,0,0
52,6,2015-05-16,5936,448,1,0,0,0
52,7,2015-05-17,0,0,0,0,0,0
52,1,2015-05-18,8669,505,1,1,0,0
52,2,2015-05-19,8008,458,1,1,0,0
52,3,2015-05-20,7216,455,1,1,0,0
52,4,2015-05-21,7732,468,1,1,0,0
52,5,2015-05-22,7697,496,1,1,0,0
52,6,2015-05-23,6311,471,1,0,0,0
52,7,2015-05-24,0,0,0,0,0,0
52,1,2015-05-25,0,0,0,0,a,0
52,2,2015-05-26,6970,477,1,0,0,1
52,3,2015-05-27,5204,357,1,0,0,1
52,4,2015-05-28,4824,339,1,0,0,1
52,5,2015-05-29,6402,449,1,0,0,1
52,6,2015-05-30,6807,459,1,0,0,0
52,7,2015-05-31,0,0,0,0,0,0
52,1,2015-06-01,9972,554,1,1,0,1
52,2,2015-06-02,8204,481,1,1,0,1
52,3,2015-06-03,8342,521,1,1,0,1
52,4,2015-06-04,0,0,0,1,a,1
52,5,2015-06-05,8552,546,1,1,0,1
52,6,2015-06-06,5504,412,1,0,0,0
52,7,2015-06-07,0,0,0,0,0,0
52,1,2015-06-08,5843,399,1,0,0,0
52,2,2015-06-09,5245,358,1,0,0,0
52,3,2015-06-10,4957,351,1,0,0,0
52,4,2015-06-11,5358,386,1,0,0,0
52,5,2015-06-12,4966,365,1,0,0,0
52,6,2015-06-13,6314,437,1,0,0,0
52,7,2015-06-14,0,0,0,0,0,0
52,1,2015-06-15,10900,602,1,1,0,0
52,2,2015-06-16,8396,463,1,1,0,0
52,3,2015-06-17,7157,420,1,1,0,0
52,4,2015-06-18,6839,461,1,1,0,0
52,5,2015-06-19,7732,501,1,1,0,0
52,6,2015-06-20,6339,451,1,0,0,0
52,7,2015-06-21,0,0,0,0,0,0
52,1,2015-06-22,4364,346,1,0,0,0
52,2,2015-06-23,4941,362,1,0,0,0
52,3,2015-06-24,5210,378,1,0,0,0
52,4,2015-06-25,4610,346,1,0,0,0
52,5,2015-06-26,5165,376,1,0,0,0
52,6,2015-06-27,6700,475,1,0,0,0
52,7,2015-06-28,0,0,0,0,0,0
52,1,2015-06-29,9885,543,1,1,0,0
52,2,2015-06-30,10587,529,1,1,0,0
52,3,2015-07-01,6689,402,1,1,0,0
52,4,2015-07-02,7170,446,1,1,0,0
52,5,2015-07-03,7593,481,1,1,0,0
52,6,2015-07-04,5968,422,1,0,0,0
52,7,2015-07-05,0,0,0,0,0,0
52,1,2015-07-06,5659,394,1,0,0,0
52,2,2015-07-07,4925,340,1,0,0,0
52,3,2015-07-08,5231,395,1,0,0,0
52,4,2015-07-09,6234,416,1,0,0,0
52,5,2015-07-10,6260,438,1,0,0,0
52,6,2015-07-11,6068,453,1,0,0,0
52,7,2015-07-12,0,0,0,0,0,0
52,1,2015-07-13,8894,512,1,1,0,0
52,2,2015-07-14,9429,531,1,1,0,0
52,3,2015-07-15,6395,452,1,1,0,0
52,4,2015-07-16,7010,462,1,1,0,0
52,5,2015-07-17,6562,457,1,1,0,0
52,6,2015-07-18,6375,472,1,0,0,0
52,7,2015-07-19,0,0,0,0,0,0
52,1,2015-07-20,5297,370,1,0,0,0
52,2,2015-07-21,5453,357,1,0,0,0
52,3,2015-07-22,4411,331,1,0,0,0
52,4,2015-07-23,6213,433,1,0,0,0
52,5,2015-07-24,5988,426,1,0,0,0
52,6,2015-07-25,6117,442,1,0,0,0
52,7,2015-07-26,0,0,0,0,0,0
52,1,2015-07-27,9118,508,1,1,0,0
52,2,2015-07-28,7787,450,1,1,0,0
52,3,2015-07-29,7584,472,1,1,0,0
52,4,2015-07-30,7024,453,1,1,0,0
52,5,2015-07-31,8031,527,1,1,0,0
55,4,2015-04-30,7167,844,1,1,0,0
55,5,2015-05-01,0,0,0,1,a,0
55,6,2015-05-02,4243,511,1,0,0,0
55,7,2015-05-03,0,0,0,0,0,0
55,1,2015-05-04,7547,812,1,1,0,0
55,2,2015-05-05,6218,679,1,1,0,0
55,3,2015-05-06,7034,725,1,1,0,0
55,4,2015-05-07,5816,672,1,1,0,0
55,5,2015-05-08,5635,721,1,1,0,0
55,6,2015-05-09,3402,410,1,0,0,0
55,7,2015-05-10,0,0,0,0,0,0
55,1,2015-05-11,4383,621,1,0,0,0
55,2,2015-05-12,4709,605,1,0,0,0
55,3,2015-05-13,6156,725,1,0,0,0
55,4,2015-05-14,0,0,0,0,a,0
55,5,2015-05-15,4526,593,1,0,0,1
55,6,2015-05-16,2846,344,1,0,0,0
55,7,2015-05-17,0,0,0,0,0,0
55,1,2015-05-18,7286,801,1,1,0,0
55,2,2015-05-19,6986,745,1,1,0,0
55,3,2015-05-20,6188,678,1,1,0,0
55,4,2015-05-21,6080,715,1,1,0,0
55,5,2015-05-22,6155,708,1,1,0,0
55,6,2015-05-23,3554,437,1,0,0,0
55,7,2015-05-24,0,0,0,0,0,0
55,1,2015-05-25,0,0,0,0,a,0
55,2,2015-05-26,5296,688,1,0,0,0
55,3,2015-05-27,4637,569,1,0,0,0
55,4,2015-05-28,4916,608,1,0,0,0
55,5,2015-05-29,5399,612,1,0,0,0
55,6,2015-05-30,3855,415,1,0,0,0
55,7,2015-05-31,0,0,0,0,0,0
55,1,2015-06-01,8245,822,1,1,0,0
55,2,2015-06-02,7144,788,1,1,0,0
55,3,2015-06-03,6255,668,1,1,0,0
55,4,2015-06-04,5984,702,1,1,a,0
55,5,2015-06-05,6120,684,1,1,0,0
55,6,2015-06-06,3016,368,1,0,0,0
55,7,2015-06-07,0,0,0,0,0,0
55,1,2015-06-08,4767,585,1,0,0,0
55,2,2015-06-09,4442,565,1,0,0,0
55,3,2015-06-10,4911,615,1,0,0,0
55,4,2015-06-11,4955,627,1,0,0,0
55,5,2015-06-12,4799,586,1,0,0,0
55,6,2015-06-13,2875,347,1,0,0,0
55,7,2015-06-14,0,0,0,0,0,0
55,1,2015-06-15,8441,895,1,1,0,0
55,2,2015-06-16,6939,735,1,1,0,0
55,3,2015-06-17,5624,630,1,1,0,0
55,4,2015-06-18,5231,595,1,1,0,0
55,5,2015-06-19,5847,682,1,1,0,0
55,6,2015-06-20,3475,374,1,0,0,0
55,7,2015-06-21,0,0,0,0,0,0
55,1,2015-06-22,3741,489,1,0,0,0
55,2,2015-06-23,4221,558,1,0,0,0
55,3,2015-06-24,4697,570,1,0,0,0
55,4,2015-06-25,4648,574,1,0,0,0
55,5,2015-06-26,4583,574,1,0,0,0
55,6,2015-06-27,2586,326,1,0,0,0
55,7,2015-06-28,0,0,0,0,0,0
55,1,2015-06-29,8172,813,1,1,0,0
55,2,2015-06-30,6614,731,1,1,0,0
55,3,2015-07-01,6111,654,1,1,0,0
55,4,2015-07-02,5851,658,1,1,0,0
55,5,2015-07-03,5385,611,1,1,0,0
55,6,2015-07-04,3066,362,1,0,0,0
55,7,2015-07-05,0,0,0,0,0,0
55,1,2015-07-06,5283,625,1,0,0,0
55,2,2015-07-07,4822,567,1,0,0,0
55,3,2015-07-08,5167,623,1,0,0,0
55,4,2015-07-09,4555,576,1,0,0,0
55,5,2015-07-10,5242,574,1,0,0,0
55,6,2015-07-11,3704,388,1,0,0,0
55,7,2015-07-12,0,0,0,0,0,0
55,1,2015-07-13,7224,777,1,1,0,1
55,2,2015-07-14,6776,703,1,1,0,1
55,3,2015-07-15,6202,668,1,1,0,1
55,4,2015-07-16,5313,609,1,1,0,1
55,5,2015-07-17,4736,596,1,1,0,1
55,6,2015-07-18,2903,347,1,0,0,0
55,7,2015-07-19,0,0,0,0,0,0
55,1,2015-07-20,4640,579,1,0,0,1
55,2,2015-07-21,4158,501,1,0,0,1
55,3,2015-07-22,3068,465,1,0,0,1
55,4,2015-07-23,4406,562,1,0,0,1
55,5,2015-07-24,3901,526,1,0,0,1
55,6,2015-07-25,2632,321,1,0,0,0
55,7,2015-07-26,0,0,0,0,0,0
55,1,2015-07-27,6017,670,1,1,0,1
55,2,2015-07-28,6252,678,1,1,0,1
55,3,2015-07-29,5924,629,1,1,0,1
55,4,2015-07-30,5610,639,1,1,0,1
55,5,2015-07-31,6096,673,1,1,0,1
62,4,2015-04-30,8371,854,1,1,0,0
62,5,2015-05-01,0,0,0,1,a,0
62,6,2015-05-02,5101,514,1,0,0,0
62,7,2015-05-03,0,0,0,0,0,0
62,1,2015-05-04,9601,960,1,1,0,0
62,2,2015-05-05,8587,862,1,1,0,0
62,3,2015-05-06,7398,776,1,1,0,0
62,4,2015-05-07,7335,791,1,1,0,0
62,5,2015-05-08,7748,797,1,1,0,0
62,6,2015-05-09,4242,446,1,0,0,0
62,7,2015-05-10,0,0,0,0,0,0
62,1,2015-05-11,7226,788,1,0,0,0
62,2,2015-05-12,6421,756,1,0,0,0
62,3,2015-05-13,7140,836,1,0,0,0
62,4,2015-05-14,0,0,0,0,a,0
62,5,2015-05-15,7583,802,1,0,0,0
62,6,2015-05-16,4094,432,1,0,0,0
62,7,2015-05-17,0,0,0,0,0,0
62,1,2015-05-18,9412,935,1,1,0,0
62,2,2015-05-19,8975,876,1,1,0,0
62,3,2015-05-20,7356,751,1,1,0,0
62,4,2015-05-21,7515,792,1,1,0,0
62,5,2015-05-22,7190,758,1,1,0,0
62,6,2015-05-23,4497,437,1,0,0,0
62,7,2015-05-24,0,0,0,0,0,0
62,1,2015-05-25,0,0,0,0,a,0
62,2,2015-05-26,7718,896,1,0,0,1
62,3,2015-05-27,6184,724,1,0,0,0
62,4,2015-05-28,6396,748,1,0,0,0
62,5,2015-05-29,6897,756,1,0,0,0
62,6,2015-05-30,3732,404,1,0,0,0
62,7,2015-05-31,0,0,0,0,0,0
62,1,2015-06-01,10274,979,1,1,0,0
62,2,2015-06-02,8854,898,1,1,0,0
62,3,2015-06-03,8746,932,1,1,0,0
62,4,2015-06-04,0,0,0,1,a,0
62,5,2015-06-05,8436,886,1,1,0,0
62,6,2015-06-06,4023,418,1,0,0,0
62,7,2015-06-07,0,0,0,0,0,0
62,1,2015-06-08,7156,809,1,0,0,0
62,2,2015-06-09,6783,729,1,0,0,0
62,3,2015-06-10,6087,683,1,0,0,0
62,4,2015-06-11,5975,708,1,0,0,0
62,5,2015-06-12,6048,705,1,0,0,0
62,6,2015-06-13,3350,387,1,0,0,0
62,7,2015-06-14,0,0,0,0,0,0
62,1,2015-06-15,9637,958,1,1,0,0
62,2,2015-06-16,8807,863,1,1,0,0
62,3,2015-06-17,8281,813,1,1,0,0
62,4,2015-06-18,6825,764,1,1,0,0
62,5,2015-06-19,6890,721,1,1,0,0
62,6,2015-06-20,3696,391,1,0,0,0
62,7,2015-06-21,0,0,0,0,0,0
62,1,2015-06-22,6062,654,1,0,0,0
62,2,2015-06-23,6539,705,1,0,0,0
62,3,2015-06-24,6106,703,1,0,0,0
62,4,2015-06-25,6494,766,1,0,0,0
62,5,2015-06-26,6514,736,1,0,0,0
62,6,2015-06-27,4396,470,1,0,0,0
62,7,2015-06-28,0,0,0,0,0,0
62,1,2015-06-29,10933,1012,1,1,0,1
62,2,2015-06-30,9265,879,1,1,0,1
62,3,2015-07-01,8439,823,1,1,0,1
62,4,2015-07-02,6730,737,1,1,0,1
62,5,2015-07-03,7005,747,1,1,0,1
62,6,2015-07-04,3747,412,1,0,0,0
62,7,2015-07-05,0,0,0,0,0,0
62,1,2015-07-06,7268,794,1,0,0,1
62,2,2015-07-07,5747,667,1,0,0,1
62,3,2015-07-08,5837,716,1,0,0,1
62,4,2015-07-09,5725,645,1,0,0,1
62,5,2015-07-10,6326,700,1,0,0,1
62,6,2015-07-11,3746,369,1,0,0,0
62,7,2015-07-12,0,0,0,0,0,0
62,1,2015-07-13,8362,836,1,1,0,1
62,2,2015-07-14,8676,796,1,1,0,1
62,3,2015-07-15,7668,774,1,1,0,1
62,4,2015-07-16,7064,727,1,1,0,1
62,5,2015-07-17,6792,725,1,1,0,1
62,6,2015-07-18,3981,390,1,0,0,0
62,7,2015-07-19,0,0,0,0,0,0
62,1,2015-07-20,5617,684,1,0,0,1
62,2,2015-07-21,6115,675,1,0,0,1
62,3,2015-07-22,5472,679,1,0,0,1
62,4,2015-07-23,5643,657,1,0,0,1
62,5,2015-07-24,5392,672,1,0,0,1
62,6,2015-07-25,3043,324,1,0,0,0
62,7,2015-07-26,0,0,0,0,0,0
62,1,2015-07-27,8619,846,1,1,0,1
62,2,2015-07-28,7593,802,1,1,0,1
62,3,2015-07-29,6820,719,1,1,0,1
62,4,2015-07-30,7181,762,1,1,0,1
62,5,2015-07-31,7495,772,1,1,0,1
66,4,2015-04-30,9136,673,1,1,0,0
66,5,2015-05-01,0,0,0,1,a,0
66,6,2015-05-02,7245,636,1,0,0,0
66,7,2015-05-03,0,0,0,0,0,0
66,1,2015-05-04,8272,649,1,1,0,0
66,2,2015-05-05,7231,548,1,1,0,0
66,3,2015-05-06,5991,501,1,1,0,0
66,4,2015-05-07,6454,539,1,1,0,0
66,5,2015-05-08,6811,587,1,1,0,0
66,6,2015-05-09,6836,613,1,0,0,0
66,7,2015-05-10,0,0,0,0,0,0
66,1,2015-05-11,5287,459,1,0,0,0
66,2,2015-05-12,4879,436,1,0,0,0
66,3,2015-05-13,7063,619,1,0,0,0
66,4,2015-05-14,0,0,0,0,a,0
66,5,2015-05-15,7321,621,1,0,0,0
66,6,2015-05-16,5611,491,1,0,0,0
66,7,2015-05-17,0,0,0,0,0,0
66,1,2015-05-18,6984,563,1,1,0,0
66,2,2015-05-19,6621,496,1,1,0,0
66,3,2015-05-20,6670,528,1,1,0,0
66,4,2015-05-21,7005,540,1,1,0,0
66,5,2015-05-22,7580,602,1,1,0,0
66,6,2015-05-23,6793,621,1,0,0,0
66,7,2015-05-24,0,0,0,0,0,0
66,1,2015-05-25,0,0,0,0,a,0
66,2,2015-05-26,6601,574,1,0,0,1
66,3,2015-05-27,4868,435,1,0,0,1
66,4,2015-05-28,5096,465,1,0,0,1
66,5,2015-05-29,6571,522,1,0,0,1
66,6,2015-05-30,5725,555,1,0,0,0
66,7,2015-05-31,0,0,0,0,0,0
66,1,2015-06-01,7078,552,1,1,0,1
66,2,2015-06-02,6244,487,1,1,0,1
66,3,2015-06-03,8320,658,1,1,0,1
66,4,2015-06-04,0,0,0,1,a,1
66,5,2015-06-05,8223,649,1,1,0,1
66,6,2015-06-06,6478,556,1,0,0,0
66,7,2015-06-07,0,0,0,0,0,0
66,1,2015-06-08,5827,519,1,0,0,0
66,2,2015-06-09,5614,447,1,0,0,0
66,3,2015-06-10,5188,442,1,0,0,0
66,4,2015-06-11,5018,448,1,0,0,0
66,5,2015-06-12,5608,489,1,0,0,0
66,6,2015-06-13,5992,539,1,0,0,0
66,7,2015-06-14,0,0,0,0,0,0
66,1,2015-06-15,8078,587,1,1,0,0
66,2,2015-06-16,7120,523,1,1,0,0
66,3,2015-06-17,6609,482,1,1,0,0
66,4,2015-06-18,5943,518,1,1,0,0
66,5,2015-06-19,7038,572,1,1,0,0
66,6,2015-06-20,6212,540,1,0,0,0
66,7,2015-06-21,0,0,0,0,0,0
66,1,2015-06-22,5028,475,1,0,0,0
66,2,2015-06-23,4548,424,1,0,0,0
66,3,2015-06-24,4588,415,1,0,0,0
66,4,2015-06-25,5134,462,1,0,0,0
66,5,2015-06-26,5642,512,1,0,0,0
66,6,2015-06-27,6462,549,1,0,0,0
66,7,2015-06-28,0,0,0,0,0,0
66,1,2015-06-29,8526,609,1,1,0,0
66,2,2015-06-30,8517,628,1,1,0,0
66,3,2015-07-01,5586,468,1,1,0,0
66,4,2015-07-02,6138,499,1,1,0,0
66,5,2015-07-03,7479,576,1,1,0,0
66,6,2015-07-04,6378,548,1,0,0,0
66,7,2015-07-05,0,0,0,0,0,0
66,1,2015-07-06,5893,523,1,0,0,0
66,2,2015-07-07,4882,422,1,0,0,0
66,3,2015-07-08,5873,494,1,0,0,0
66,4,2015-07-09,5800,518,1,0,0,0
66,5,2015-07-10,5900,528,1,0,0,0
66,6,2015-07-11,5930,531,1,0,0,0
66,7,2015-07-12,0,0,0,0,0,0
66,1,2015-07-13,8895,633,1,1,0,0
66,2,2015-07-14,7145,528,1,1,0,0
66,3,2015-07-15,6642,536,1,1,0,0
66,4,2015-07-16,6177,530,1,1,0,0
66,5,2015-07-17,6524,550,1,1,0,0
66,6,2015-07-18,7175,634,1,0,0,0
66,7,2015-07-19,0,0,0,0,0,0
66,1,2015-07-20,5418,525,1,0,0,0
66,2,2015-07-21,5111,469,1,0,0,0
66,3,2015-07-22,5005,451,1,0,0,0
66,4,2015-07-23,6430,517,1,0,0,0
66,5,2015-07-24,5314,507,1,0,0,0
66,6,2015-07-25,6398,559,1,0,0,0
66,7,2015-07-26,0,0,0,0,0,0
66,1,2015-07-27,8775,635,1,1,0,0
66,2,2015-07-28,6927,535,1,1,0,0
66,3,2015-07-29,7050,520,1,1,0,0
66,4,2015-07-30,6937,530,1,1,0,1
66,5,2015-07-31,8306,636,1,1,0,1
89,4,2015-04-30,7730,764,1,1,0,0
89,5,2015-05-01,0,0,0,1,a,0
89,6,2015-05-02,5552,550,1,0,0,0
89,7,2015-05-03,0,0,0,0,0,0
89,1,2015-05-04,8103,775,1,1,0,0
89,2,2015-05-05,6050,617,1,1,0,0
89,3,2015-05-06,5914,598,1,1,0,0
89,4,2015-05-07,6898,679,1,1,0,0
89,5,2015-05-08,6462,672,1,1,0,0
89,6,2015-05-09,5155,484,1,0,0,0
89,7,2015-05-10,0,0,0,0,0,0
89,1,2015-05-11,6695,691,1,0,0,0
89,2,2015-05-12,6146,638,1,0,0,0
89,3,2015-05-13,6629,700,1,0,0,0
89,4,2015-05-14,0,0,0,0,a,0
89,5,2015-05-15,6906,689,1,0,0,0
89,6,2015-05-16,4786,467,1,0,0,0
89,7,2015-05-17,0,0,0,0,0,0
89,1,2015-05-18,8456,766,1,1,0,0
89,2,2015-05-19,6746,641,1,1,0,0
89,3,2015-05-20,6063,543,1,1,0,0
89,4,2015-05-21,7185,702,1,1,0,0
89,5,2015-05-22,7666,748,1,1,0,0
89,6,2015-05-23,5252,476,1,0,0,0
89,7,2015-05-24,0,0,0,0,0,0
89,1,2015-05-25,0,0,0,0,a,0
89,2,2015-05-26,6184,655,1,0,0,1
89,3,2015-05-27,6080,611,1,0,0,1
89,4,2015-05-28,5774,600,1,0,0,1
89,5,2015-05-29,5962,614,1,0,0,1
89,6,2015-05-30,4708,439,1,0,0,0
89,7,2015-05-31,0,0,0,0,0,0
89,1,2015-06-01,7907,721,1,1,0,1
89,2,2015-06-02,6611,624,1,1,0,1
89,3,2015-06-03,6611,641,1,1,0,1
89,4,2015-06-04,0,0,0,1,a,1
89,5,2015-06-05,7585,727,1,1,0,1
89,6,2015-06-06,4227,431,1,0,0,0
89,7,2015-06-07,0,0,0,0,0,0
89,1,2015-06-08,6296,637,1,0,0,0
89,2,2015-06-09,6390,611,1,0,0,0
89,3,2015-06-10,6282,594,1,0,0,0
89,4,2015-06-11,5864,598,1,0,0,0
89,5,2015-06-12,5826,599,1,0,0,0
89,6,2015-06-13,4833,439,1,0,0,0
89,7,2015-06-14,0,0,0,0,0,0
89,1,2015-06-15,7372,646,1,1,0,0
89,2,2015-06-16,8411,787,1,1,0,0
89,3,2015-06-17,5712,634,1,1,0,0
89,4,2015-06-18,6127,566,1,1,0,0
89,5,2015-06-19,6597,662,1,1,0,0
89,6,2015-06-20,4086,407,1,0,0,0
89,7,2015-06-21,0,0,0,0,0,0
89,1,2015-06-22,6401,662,1,0,0,0
89,2,2015-06-23,5593,632,1,0,0,0
89,3,2015-06-24,5132,592,1,0,0,0
89,4,2015-06-25,5445,595,1,0,0,0
89,5,2015-06-26,6268,644,1,0,0,0
89,6,2015-06-27,5006,452,1,0,0,0
89,7,2015-06-28,0,0,0,0,0,0
89,1,2015-06-29,9152,828,1,1,0,0
89,2,2015-06-30,8186,723,1,1,0,0
89,3,2015-07-01,6256,616,1,1,0,0
89,4,2015-07-02,6200,641,1,1,0,0
89,5,2015-07-03,6657,669,1,1,0,0
89,6,2015-07-04,4350,451,1,0,0,0
89,7,2015-07-05,0,0,0,0,0,0
89,1,2015-07-06,6220,681,1,0,0,0
89,2,2015-07-07,5191,625,1,0,0,0
89,3,2015-07-08,5423,587,1,0,0,0
89,4,2015-07-09,6307,626,1,0,0,0
89,5,2015-07-10,6327,662,1,0,0,0
89,6,2015-07-11,4039,416,1,0,0,0
89,7,2015-07-12,0,0,0,0,0,0
89,1,2015-07-13,8788,781,1,1,0,0
89,2,2015-07-14,7632,715,1,1,0,0
89,3,2015-07-15,6738,653,1,1,0,0
89,4,2015-07-16,5996,639,1,1,0,0
89,5,2015-07-17,6575,656,1,1,0,0
89,6,2015-07-18,4639,461,1,0,0,0
89,7,2015-07-19,0,0,0,0,0,0
89,1,2015-07-20,6853,662,1,0,0,0
89,2,2015-07-21,5346,584,1,0,0,0
89,3,2015-07-22,5049,553,1,0,0,0
89,4,2015-07-23,6103,678,1,0,0,0
89,5,2015-07-24,5870,651,1,0,0,0
89,6,2015-07-25,4831,461,1,0,0,0
89,7,2015-07-26,0,0,0,0,0,0
89,1,2015-07-27,8335,794,1,1,0,0
89,2,2015-07-28,7313,702,1,1,0,0
89,3,2015-07-29,6658,634,1,1,0,0
89,4,2015-07-30,6433,683,1,1,0,0
89,5,2015-07-31,7295,716,1,1,0,0
94,4,2015-04-30,11143,882,1,1,0,0
94,5,2015-05-01,0,0,0,1,a,0
94,6,2015-05-02,6969,673,1,0,0,0
94,7,2015-05-03,0,0,0,0,0,0
94,1,2015-05-04,11865,932,1,1,0,0
94,2,2015-05-05,8290,684,1,1,0,0
94,3,2015-05-06,8573,707,1,1,0,0
94,4,2015-05-07,9070,745,1,1,0,0
94,5,2015-05-08,8085,740,1,1,0,0
94,6,2015-05-09,6775,591,1,0,0,0
94,7,2015-05-10,0,0,0,0,0,0
94,1,2015-05-11,5763,579,1,0,0,0
94,2,2015-05-12,6522,613,1,0,0,0
94,3,2015-05-13,7712,745,1,0,0,0
94,4,2015-05-14,0,0,0,0,a,0
94,5,2015-05-15,8041,753,1,0,0,0
94,6,2015-05-16,5624,553,1,0,0,0
94,7,2015-05-17,0,0,0,0,0,0
94,1,2015-05-18,11435,863,1,1,0,0
94,2,2015-05-19,9274,720,1,1,0,0
94,3,2015-05-20,7541,653,1,1,0,0
94,4,2015-05-21,7558,684,1,1,0,0
94,5,2015-05-22,8027,696,1,1,0,0
94,6,2015-05-23,6641,574,1,0,0,0
94,7,2015-05-24,0,0,0,0,0,0
94,1,2015-05-25,0,0,0,0,a,0
